epoch;loss;val_loss
0;0.04366388787705371;0.264871472963543
1;0.022121324357251802;0.07648626754585172
2;0.017386034443247326;0.14170320020783625
3;0.014414796960111654;0.08287467381397787
4;0.012332399245652775;0.10595624793451527
5;0.010663540065939928;0.11215622545621992
6;0.009385464016945748;0.13873688740590465
7;0.008157888365184874;0.18517605618471247
8;0.007263514889157477;0.2068340143519921
9;0.006337035907649573;0.2185846889952362
10;0.0057304117389619874;0.21008359757054962
11;0.005220865756380167;0.23728933632193627
